585,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
586,TERCIARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
587,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
588,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
589,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1135,TERCIARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1139,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1142,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1146,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1147,TERCIARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1153,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1160,UNIVERSITARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1169,S/D,S/D,INTRODUCCION A JAVA,21631
1183,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1185,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1187,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1206,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1209,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1224,S/D,S/D,INTRODUCCION A JAVA,21631
1236,S/D,S/D,INTRODUCCION A JAVA,21631
1241,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1257,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1267,S/D,SI,INTRODUCCION A JAVA,21631
1271,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1273,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1278,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1280,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1282,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1299,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1302,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1306,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1313,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1317,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1325,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1329,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1335,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1338,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1339,SECUNDARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1340,UNIVERSITARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1342,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1359,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1362,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
